community_id,conn_state,duration,history,src_ip_zeek,src_port_zeek,dest_ip_zeek,dest_port_zeek,local_orig,local_resp,missed_bytes,orig_bytes,orig_ip_bytes,orig_pkts,proto,resp_bytes,resp_ip_bytes,resp_pkts,service,ts,uid,datetime,label_tactic,label_technique,label_binary,label_cve
1:K90McW3kjr3/yQMUuNJnVsa0IEo=,S0,0.0011141300201416016,S,143.88.15.10,34863,143.88.1.19,445,false,false,0,0,240,4,tcp,0,0,0,,1.709392821547634E9,CidJPr1E3FmlvNcWdd,2024-03-02T15:20:21.547Z,Initial Access,Duplicate,Duplicate,Duplicate
1:OzH03JoUeAUrU+pH/YnwNesNi0M=,S0,0.001455068588256836,S,143.88.15.10,34165,143.88.1.19,445,false,false,0,0,240,4,tcp,0,0,0,,1.709160656266501E9,C9iuAi3pl36iuAdij2,2024-02-28T22:50:56.266Z,Initial Access,Duplicate,Duplicate,Duplicate
1:ATSwj4pT3zyCHthuA80OjLvTEvY=,S0,0.0018529891967773438,S,143.88.11.10,43815,143.88.12.14,445,false,false,0,0,240,4,tcp,0,0,0,,1.709112298564197E9,CBFZpe4HNcMoQRZwfh,2024-02-28T09:24:58.564Z,Initial Access,Duplicate,Duplicate,Duplicate
1:ZN2rMMmLt5SI6r52Q0T3Sp5RrR8=,S0,0.0020999908447265625,S,143.88.3.11,45875,143.88.4.12,445,false,false,0,0,240,4,tcp,0,0,0,,1.709317520940528E9,ClKyMhiWVdXTQhm2,2024-03-01T18:25:20.940Z,Initial Access,Duplicate,Duplicate,Duplicate
1:HcX0T9128Mro54sdRqYn5sUe9jg=,S0,0.0014069080352783203,S,143.88.15.10,39541,143.88.1.19,445,false,false,0,0,240,4,tcp,0,0,0,,1.709303902061443E9,CC21Vn4KAJhtDsNam9,2024-03-01T14:38:22.061Z,Initial Access,Duplicate,Duplicate,Duplicate
1:RkEIqMk+bNM04WkGEXZGU3czHec=,S0,0.0015120506286621094,S,143.88.13.12,42199,143.88.14.12,445,false,false,0,0,240,4,tcp,0,0,0,,1.709373384586828E9,CuVZi9PinFu5dHorf,2024-03-02T09:56:24.586Z,Initial Access,Duplicate,Duplicate,Duplicate
1:qwSHueRRbZXCURkCRsV/L+4+ggg=,S0,0.0016088485717773438,S,143.88.15.10,46601,143.88.1.19,445,false,false,0,0,240,4,tcp,0,0,0,,1.709414655655569E9,Ce0mc72bRU3zbmDN3f,2024-03-02T21:24:15.655Z,Initial Access,Duplicate,Duplicate,Duplicate
1:PptCweVayo96mw0xcw6XnRKeuJI=,S0,0.0016210079193115234,S,143.88.7.11,36297,143.88.8.13,445,false,false,0,0,240,4,tcp,0,0,0,,1.709344794121482E9,Cv9y3T30qNMnOoxT7h,2024-03-02T01:59:54.121Z,Initial Access,Duplicate,Duplicate,Duplicate
1:sykgrdOLaTsVUYQYBJBIoEWxVmw=,S0,0.0019519329071044922,S,143.88.8.12,32805,143.88.9.10,445,false,false,0,0,240,4,tcp,0,0,0,,1.709137320929034E9,CbuK5SLOvj97qULvh,2024-02-28T16:22:00.929Z,Initial Access,Duplicate,Duplicate,Duplicate
1:Fg8bG7X/SdwMOS4g8AJF/LX4js4=,SF,0.09769606590270996,ShADTadtFf,143.88.12.12,35113,143.88.13.14,80,false,false,0,606,3704,24,tcp,202,1672,16,http,1.709393668617915E9,C9TOTk15y45DpqV64a,2024-03-02T15:34:28.617Z,Initial Access,T1190,True,none
