community_id,conn_state,duration,history,src_ip_zeek,src_port_zeek,dest_ip_zeek,dest_port_zeek,local_orig,local_resp,missed_bytes,orig_bytes,orig_ip_bytes,orig_pkts,proto,resp_bytes,resp_ip_bytes,resp_pkts,service,ts,uid,datetime,label_tactic,label_technique,label_binary,label_cve
1:7bbTqwz2S8flouwTZcxLZqmiruA=,S0,0.00127410888671875,S,143.88.14.11,33753,143.88.15.12,445,false,false,0,0,240,4,tcp,0,0,0,,1.711556932414608E9,CWaETQ34rgQ8Nv0atf,2024-03-27T16:28:52.414Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:I297Oas3EFFestpKNuHEf8gr34U=,S0,0.0013971328735351562,S,143.88.7.11,37835,143.88.8.13,445,false,false,0,0,240,4,tcp,0,0,0,,1.711517604203456E9,CG33432GaCu510ftb6,2024-03-27T05:33:24.203Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:DPlIMobpsSxVRQ9YcRRRXvaiuLs=,S0,0.0018270015716552734,S,143.88.11.10,37475,143.88.12.14,445,false,false,0,0,240,4,tcp,0,0,0,,1.711551329218657E9,C0A2Yw3hWFHnF2FrM6,2024-03-27T14:55:29.218Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:6rvmmeXwvhqxLOqTaWDO4NrR/0M=,S0,0.0014328956604003906,S,143.88.9.12,41123,143.88.10.11,445,false,false,0,0,240,4,tcp,0,0,0,,1.71154210389806E9,CifOAy4EyHLhgP9Jy1,2024-03-27T12:21:43.898Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:hP9Smm/rJFGFtmKKKlwIz28K1oI=,S0,0.0014939308166503906,S,143.88.2.17,44205,143.88.3.14,445,false,false,0,0,240,4,tcp,0,0,0,,1.7113020999875E9,C5XiVz4Wf89nGJocRb,2024-03-24T17:41:39.987Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:luSQ3apCij608HVEeBYrH9OGugY=,S0,8.800029754638672E-4,S,143.88.11.10,43695,143.88.12.14,445,false,false,0,0,240,4,tcp,0,0,0,,1.711281061211271E9,CKIpda41KHYuihqis3,2024-03-24T11:51:01.211Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:VUKwPucZSzuHaafjKvr0hfpYUzA=,S0,0.0014979839324951172,S,143.88.5.14,46105,143.88.6.13,445,false,false,0,0,240,4,tcp,0,0,0,,1.71131507057429E9,CP9Ec7D0v9KCGxzN,2024-03-24T21:17:50.574Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:XcehT7zyMhRvm4UyEbDAKrH4U3A=,S0,0.0012090206146240234,S,143.88.13.12,46583,143.88.14.12,445,false,false,0,0,240,4,tcp,0,0,0,,1.71127246277794E9,CGhxohmIQLFpXLvck,2024-03-24T09:27:42.777Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:pHc6yA8rRycwTtn5+j0HJC640/M=,S0,0.0015881061553955078,S,143.88.5.14,44585,143.88.6.13,445,false,false,0,0,240,4,tcp,0,0,0,,1.711524207687542E9,CL8Och1Llk2raVP6li,2024-03-27T07:23:27.687Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:wYslPxO0NDFPScSaO8wsRTtp4P0=,S0,0.0011420249938964844,S,143.88.2.17,34283,143.88.3.14,445,false,false,0,0,240,4,tcp,0,0,0,,1.711557757849633E9,CMlq444eTv8J3pCbJ6,2024-03-27T16:42:37.849Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
