community_id,conn_state,duration,history,src_ip_zeek,src_port_zeek,dest_ip_zeek,dest_port_zeek,local_orig,local_resp,missed_bytes,orig_bytes,orig_ip_bytes,orig_pkts,proto,resp_bytes,resp_ip_bytes,resp_pkts,service,ts,uid,datetime,label_tactic,label_technique,label_binary,label_cve
1:XGpF2K/TwKDquIcMkGNJGpKkZ9A=,OTH,,A,143.88.10.12,36851,143.88.11.4,80,false,false,0,,40,1,tcp,,0,0,,1.710745381395426E9,Cj1yP82BHbSA6KfjHa,2024-03-18T07:03:01.395Z,Reconnaissance,T1595,True,none
1:EzkMEw03Yz+zJ7c0GMrqwtUJvMM=,OTH,,A,143.88.10.12,37502,143.88.11.18,80,false,false,0,,40,1,tcp,,0,0,,1.710750156372099E9,C87J4i2yG2yzL5Fizi,2024-03-18T08:22:36.372Z,Reconnaissance,T1595,True,none
1:RbzfJo10F6mFV+vgWnTEhYhknbI=,OTH,,A,143.88.10.12,37502,143.88.11.16,80,false,false,0,,40,1,tcp,,0,0,,1.710750157556834E9,Ch8ub11U8BuVzFfTug,2024-03-18T08:22:37.556Z,Reconnaissance,T1595,True,none
1:v0yMAn41j/iEJoBTiB2Yk6dmNeU=,OTH,,A,143.88.10.12,43192,143.88.11.18,80,false,false,0,,40,1,tcp,,0,0,,1.711233662615342E9,Ci2Qwt4RPCktQSejDb,2024-03-23T22:41:02.615Z,Reconnaissance,T1595,True,none
1:Js8JSlyUlB32eIjNoxz7lBgh2cE=,OTH,,A,143.88.10.12,47553,143.88.11.8,80,false,false,0,,40,1,tcp,,0,0,,1.710719343750191E9,CEEI3QafY2QvilN48,2024-03-17T23:49:03.750Z,Reconnaissance,T1595,True,none
1:MNACRDpeoiBN1pKBB8phsVkcH30=,OTH,,A,143.88.10.12,54013,143.88.11.15,80,false,false,0,,40,1,tcp,,0,0,,1.710869927721171E9,C56qSR1EueL3903Ovi,2024-03-19T17:38:47.721Z,Reconnaissance,T1595,True,none
1:OA9lUNzbe4QIKU+oiB26iA4R3/c=,OTH,,A,143.88.10.12,56116,143.88.11.18,80,false,false,0,,40,1,tcp,,0,0,,1.710960036571962E9,CO6a2PxJsptBjWcd6,2024-03-20T18:40:36.571Z,Reconnaissance,T1595,True,none
1:yA6UfbTEvihGRjRBt7R7LisCC8U=,OTH,,A,143.88.10.12,56589,143.88.11.19,80,false,false,0,,40,1,tcp,,0,0,,1.710813193702197E9,CcDMIE2MthQNOZr5d9,2024-03-19T01:53:13.702Z,Reconnaissance,T1595,True,none
1:u7FUrzsDvl1GZhJEy+faOyYdWOc=,OTH,,A,143.88.10.12,58076,143.88.11.16,80,false,false,0,,40,1,tcp,,0,0,,1.711045691375187E9,CUZA7l1oP8JYyXqwQ5,2024-03-21T18:28:11.375Z,Reconnaissance,T1595,True,none
1:MtFutrP4Oci+Fi9VAytgW6U8YKM=,OTH,,A,143.88.10.12,59683,143.88.11.7,80,false,false,0,,40,1,tcp,,0,0,,1.710842075267906E9,C6jwa8243j9mBqfuE8,2024-03-19T09:54:35.267Z,Reconnaissance,T1595,True,none
1:NT6PqfytfjPUlc/KHgszZflki0E=,OTH,,A,143.88.10.12,61958,143.88.11.5,80,false,false,0,,40,1,tcp,,0,0,,1.711054303167201E9,CMInvShAxGEDGvmK2,2024-03-21T20:51:43.167Z,Reconnaissance,T1595,True,none
1:lfts4qwz65JMvJLSpNPbonREmIA=,OTH,,A,143.88.10.12,62152,143.88.11.8,80,false,false,0,,40,1,tcp,,0,0,,1.710795211479349E9,CejAeD1rBMn7XhyiP3,2024-03-18T20:53:31.479Z,Reconnaissance,T1595,True,none
1:0uUNrYnHOd6gwNYQPYppi8AqV+g=,S0,3.840923309326172E-4,S,143.88.4.11,45763,143.88.5.5,443,false,false,0,0,132,3,tcp,0,0,0,,1.711070593470461E9,CfWJfT3clKBuZYpG28,2024-03-22T01:23:13.470Z,Reconnaissance,T1595,True,none
1:0oCsUENgdiSmKSWUICUljPHDSrE=,S0,6.430149078369141E-4,S,143.88.12.12,64909,143.88.13.1,25,false,false,0,0,132,3,tcp,0,0,0,,1.710932686706578E9,CktO9r3IkcUOeLawnj,2024-03-20T11:04:46.706Z,Reconnaissance,T1595,True,none
1:62d7SwNJPyGhpHd9PRE9ow8DUaA=,S0,6.928443908691406E-4,S,143.88.4.11,40435,143.88.5.19,443,false,false,0,0,132,3,tcp,0,0,0,,1.711030229110388E9,CmE3xc4GWpD8CtXsd3,2024-03-21T14:10:29.110Z,Reconnaissance,T1595,True,none
1:jjo0hX89b2SHSMxwS6pei0XLCM4=,S0,7.250308990478516E-4,S,143.88.4.11,40022,143.88.5.20,443,false,false,0,0,132,3,tcp,0,0,0,,1.710808883220417E9,Cijq2f1VXQQ6HUxEtf,2024-03-19T00:41:23.220Z,Reconnaissance,T1595,True,none
1:UlcEOEi/0B0hk+S97vpMqKNuoW0=,S0,7.619857788085938E-4,S,143.88.4.11,41506,143.88.5.19,443,false,false,0,0,132,3,tcp,0,0,0,,1.710974824345949E9,CIDkTc2qPMwVUy9c9,2024-03-20T22:47:04.345Z,Reconnaissance,T1595,True,none
1:28Fmk8m4nBRSVyXVzFnoj00T4Gc=,S0,7.641315460205078E-4,S,143.88.4.11,37439,143.88.5.19,443,false,false,0,0,132,3,tcp,0,0,0,,1.711052322520182E9,Cq19zflUVGwfyhzh7,2024-03-21T20:18:42.520Z,Reconnaissance,T1595,True,none
1:Jp6OFSIdlvrBtG9i/1u7Z3B9TaQ=,S0,7.660388946533203E-4,S,143.88.4.11,48509,143.88.5.8,443,false,false,0,0,132,3,tcp,0,0,0,,1.710975964322941E9,CqTjaJgSvv2mO8218,2024-03-20T23:06:04.322Z,Reconnaissance,T1595,True,none
